tweet_favorite_count,tweet_retweet_count,tweet_media_urls/0,tweet_view_count,tweet_text,user_location,user_handle,tweet_created_at,id,Hashtags
5,1,https://pbs.twimg.com/media/GJncSvOWoAAsLy-.jpg,507,"Shivam Dube said, ""CSK has given me the freedom to express myself"".🔥💛

#RachinRavindra #ShivamDube #MSDhoni #RuturajGaikwad #ShubmanGill #GT #CSK #CSKvGT #CSKvsGT #IPL #IPL2024 #TATAIPL #TATAIPL2024 https://t.co/aZ8H9WD1jZ","Dubai, United Arab Emirates",irishabhparmar,Tue Mar 26 18:20:45 +0000 2024,tweet-1772690165137367330,"RachinRavindra,ShivamDube,MSDhoni,RuturajGaikwad,ShubmanGill,GT,CSK,CSKvGT,CSKvsGT,IPL,IPL2024,TATAIPL,TATAIPL2024"
3,0,https://pbs.twimg.com/ext_tw_video_thumb/1772692420620161024/pu/img/KpHT5oJR0Y7j9FCG.jpg,447,Thala's catch #CSKvsGT #Dhoni #IPL https://t.co/cyupZO6dXG,,Maheshh_Dasari,Tue Mar 26 18:29:47 +0000 2024,tweet-1772692441545470260,"CSKvsGT,Dhoni,IPL"
2,0,https://pbs.twimg.com/media/GJnAQzcW4AApptR.jpg,486,"Shubhan gill in focus 

Watch your favourite star on the
#ipl 
#ShubmanGill
#GTvsCSK https://t.co/vDdEkCGRDj",localhost 8080 ,codewithsumit_0,Tue Mar 26 16:18:13 +0000 2024,tweet-1772659328865939663,"ipl,ShubmanGill,GTvsCSK"
330,16,https://pbs.twimg.com/media/GJneABTW4AAPH4m.jpg,9684,"Shivam dube
#shivamdube #ipl2024
#ipl #csk #chepauk https://t.co/C0nHLviDng","Mumbai, India",RVCJ_Sports,Tue Mar 26 18:28:08 +0000 2024,tweet-1772692026061947092,"shivamdube,ipl2024,ipl,csk,chepauk"
49,4,https://pbs.twimg.com/media/GJnQsISW8AA9cxt.jpg,2664,"Undertaker Pathirana has arrived in #IPL2024 !

#IPL2024 #IPL #TATAIPL #CSKvGT #CSKvsGT #GTvCSK #GTvsCSK https://t.co/BV5gc6CfLY",,tctv1offl,Tue Mar 26 17:30:12 +0000 2024,tweet-1772677447516860890,"IPL2024,IPL2024,IPL,TATAIPL,CSKvGT,CSKvsGT,GTvCSK,GTvsCSK"
3,0,,758,"Kavya Maran’s celebration during the SRH vs MI match IPL 2024.🔥🧡

#TravisHead #AbhishekSharma #HeinrichKlaasen #AidenMarkram #HardikPandya #RohitSharma #JaspritBumrah #MI #SRH #SRHvMI #SRHvsMI #IPL #IPL2024 #TATAIPL #TATAIPL2024

 https://t.co/vXsvpXq44I","Dubai, United Arab Emirates",irishabhparmar,Wed Mar 27 20:09:50 +0000 2024,tweet-1773080006052266235,"TravisHead,AbhishekSharma,HeinrichKlaasen,AidenMarkram,HardikPandya,RohitSharma,JaspritBumrah,MI,SRH,SRHvMI,SRHvsMI,IPL,IPL2024,TATAIPL,TATAIPL2024"
1,0,https://pbs.twimg.com/ext_tw_video_thumb/1773067531600998400/pu/img/7l-TQXaZk4gWFJ32.jpg,91,"Fcuk that tinpot trophy, hook or crook we should again top on the highest score.
#IPL
#RCB https://t.co/jbe732cUjh",No man's land ,kicchakaushik,Wed Mar 27 19:20:20 +0000 2024,tweet-1773067547811651924,"IPL,RCB"
1,0,https://pbs.twimg.com/media/GJtAchDasAEAplc.jpg,435,"MAYANK AGARWAL 🤝 ZERO GRAVITY

#TravisHead #AbhishekSharma #HeinrichKlaasen #AidenMarkram #HardikPandya #RohitSharma #JaspritBumrah #MI #SRH #SRHvMI #SRHvsMI #IPL #IPL2024 #TATAIPL #TATAIPL2024 https://t.co/lfmELGGOtY","Dubai, United Arab Emirates",irishabhparmar,Wed Mar 27 20:16:54 +0000 2024,tweet-1773081783136874698,"TravisHead,AbhishekSharma,HeinrichKlaasen,AidenMarkram,HardikPandya,RohitSharma,JaspritBumrah,MI,SRH,SRHvMI,SRHvsMI,IPL,IPL2024,TATAIPL,TATAIPL2024"
1,0,https://pbs.twimg.com/media/GJtB14easAMJLj3.jpg,459,"Captain Pat Cummins with the two SRH’s winning stars of tonight’s game.🌟🧡

#TravisHead #AbhishekSharma #HeinrichKlaasen #AidenMarkram #HardikPandya #RohitSharma #JaspritBumrah #MI #SRH #SRHvMI #SRHvsMI #IPL #IPL2024 #TATAIPL #TATAIPL2024 https://t.co/9EDq3J1eHz","Dubai, United Arab Emirates",irishabhparmar,Wed Mar 27 20:22:53 +0000 2024,tweet-1773083290854949201,"TravisHead,AbhishekSharma,HeinrichKlaasen,AidenMarkram,HardikPandya,RohitSharma,JaspritBumrah,MI,SRH,SRHvMI,SRHvsMI,IPL,IPL2024,TATAIPL,TATAIPL2024"
5,0,https://pbs.twimg.com/media/GJsmuOcagAEgoRB.jpg,354,"#Klassen after kuting #MumbaiIndians.😅
#MIvsSRH #SRHvMI #HardikPandya #abhishek #IPL #JioCinema #Cummins #RohitSharma𓃵 #SRH #SunrisersHyderabad #MI #TATAIPL https://t.co/A2Ikn23qmV",India,itsfaisalpasha,Wed Mar 27 18:24:21 +0000 2024,tweet-1773053460893544957,"Klassen,MumbaiIndians,MIvsSRH,SRHvMI,HardikPandya,abhishek,IPL,JioCinema,Cummins,RohitSharma𓃵,SRH,SunrisersHyderabad,MI,TATAIPL"
2,0,https://pbs.twimg.com/media/GJsxIrubUAA0Are.jpg,177,"Highest scores in IPL

#SunrisersHyderabad 
#RCB
#LucknowSuperGiants
#RoyalChanllengersBengaluru
#ChennaiSuperKings (#CSK)

#IPL | #allwoodreviews https://t.co/OQK02EYnWQ",India,AllwoodReviews,Wed Mar 27 19:09:51 +0000 2024,tweet-1773064911834198051,"SunrisersHyderabad,RCB,LucknowSuperGiants,RoyalChanllengersBengaluru,ChennaiSuperKings,CSK,IPL,allwoodreviews"
0,0,https://pbs.twimg.com/ext_tw_video_thumb/1773061889016111104/pu/img/NLt4GmmhcftGQMq-.jpg,70,"#RCB ki bowling was so personal 😭.

#RRvsDC l #DCvsRR l #starc l #IPL https://t.co/yfYaMxBEdU","London, England",Ammar4Khan,Wed Mar 27 18:58:08 +0000 2024,tweet-1773061960830951875,"RCB,RRvsDC,DCvsRR,starc,IPL"
1,0,https://pbs.twimg.com/media/GJtChUxasAAqU_D.jpg,392,"35,000 WERE PART OF THE HISTORY AT THE UPPAL STADIUM IN HYDERABAD.🔥🧡

#TravisHead #AbhishekSharma #HeinrichKlaasen #AidenMarkram #HardikPandya #RohitSharma #JaspritBumrah #MI #SRH #SRHvMI #SRHvsMI #IPL #IPL2024 #TATAIPL #TATAIPL2024 https://t.co/EH4duFiqVi","Dubai, United Arab Emirates",irishabhparmar,Wed Mar 27 20:25:48 +0000 2024,tweet-1773084026795962823,"TravisHead,AbhishekSharma,HeinrichKlaasen,AidenMarkram,HardikPandya,RohitSharma,JaspritBumrah,MI,SRH,SRHvMI,SRHvsMI,IPL,IPL2024,TATAIPL,TATAIPL2024"
1,0,https://pbs.twimg.com/amplify_video_thumb/1773065462705717248/img/wQbkrEVFH2PZ9fH7.jpg,1946,"SRH vs MI | Cummins Captaincy வேற Levelல இருந்துச்சு | Dr.V.V.Giri, Former State Cricketer| IPL 2024

#IPL2024 #SRHvsMI #MumbaiIndians #SunRisersHyderabad #MIvsSRH #MI #SRH #RohitSharma #HardikPandya #Cummins #IPL #AbhishekSharma #HeinrichKlaasen #TravisHead #OneindiaHowzat https://t.co/GXxXAm16sd",India,thatsTamil,Wed Mar 27 19:13:15 +0000 2024,tweet-1773065765060477134,"IPL2024,SRHvsMI,MumbaiIndians,SunRisersHyderabad,MIvsSRH,MI,SRH,RohitSharma,HardikPandya,Cummins,IPL,AbhishekSharma,HeinrichKlaasen,TravisHead,OneindiaHowzat"
1,0,https://pbs.twimg.com/media/GJtD1-7asAERk34.jpg,747,"Kavya Maran’s celebration during the SRH vs MI match IPL 2024.🔥🧡

#KavyaMaran #TravisHead #AbhishekSharma #HeinrichKlaasen #AidenMarkram #HardikPandya #RohitSharma #JaspritBumrah #MI #SRH #SRHvMI #SRHvsMI #IPL #IPL2024 #TATAIPL #TATAIPL2024 https://t.co/Jf1wBJpLgb","Dubai, United Arab Emirates",irishabhparmar,Wed Mar 27 20:31:36 +0000 2024,tweet-1773085482835910958,"KavyaMaran,TravisHead,AbhishekSharma,HeinrichKlaasen,AidenMarkram,HardikPandya,RohitSharma,JaspritBumrah,MI,SRH,SRHvMI,SRHvsMI,IPL,IPL2024,TATAIPL,TATAIPL2024"
0,0,https://pbs.twimg.com/ext_tw_video_thumb/1773087984012931073/pu/img/RrQJnwRRGT335FrD.jpg,250,MI after today’s match 😜🤪🎤 #MIvsSRH #SRHvsMI #SRH #IPL #IPL2024 https://t.co/RhQPFZHvKT,,_TheTechLibrary,Wed Mar 27 20:41:38 +0000 2024,tweet-1773088008201482380,"MIvsSRH,SRHvsMI,SRH,IPL,IPL2024"
2,0,https://pbs.twimg.com/media/GJtC4cAasAA1wAd.jpg,407,"HEINRICH KLAASEN HAS THE HIGHEST STRIKE RATE IN IPL HISTORY (Minimum 500 runs).🔥🧡

#TravisHead #AbhishekSharma #HeinrichKlaasen #AidenMarkram #HardikPandya #RohitSharma #JaspritBumrah #MI #SRH #SRHvMI #SRHvsMI #IPL #IPL2024 #TATAIPL #TATAIPL2024 https://t.co/FVtOVLwe5K","Dubai, United Arab Emirates",irishabhparmar,Wed Mar 27 20:27:24 +0000 2024,tweet-1773084427792363846,"TravisHead,AbhishekSharma,HeinrichKlaasen,AidenMarkram,HardikPandya,RohitSharma,JaspritBumrah,MI,SRH,SRHvMI,SRHvsMI,IPL,IPL2024,TATAIPL,TATAIPL2024"
45,3,https://pbs.twimg.com/amplify_video_thumb/1773062035854577664/img/kKgY0jXxSy7r04Qa.jpg,1334,"That Winning High🥹🧡🧡

@SunRisers treated the Fans to a Mid-week Madness in Hyderabad

#srhvsmi #OrangeArmy #TATAIPL2024 #TATAIPL #IPL2024 #IPL #ipl #SRH #Sunrisers #SunrisersHyderabad #SRHvMI #SRHvsMi #SRHvsMI #Hyderabad #Mumbai #MI #PlayWithFire https://t.co/u7TAApfIos","Hyderabad, India",RisingEaglesRE,Wed Mar 27 18:58:47 +0000 2024,tweet-1773062126111756675,"srhvsmi,OrangeArmy,TATAIPL2024,TATAIPL,IPL2024,IPL,ipl,SRH,Sunrisers,SunrisersHyderabad,SRHvMI,SRHvsMi,SRHvsMI,Hyderabad,Mumbai,MI,PlayWithFire"
1,0,https://pbs.twimg.com/media/GJs_kMFasAAQanf.jpg,831,"Shivam Dube said - ""The catch taken by Mahi bhai and I know he is something different. People tell him he is 42 years but I still think he is 32"". 🔥💛

#RachinRavindra #ShivamDube #MSDhoni #RuturajGaikwad #ShubmanGill #GT #CSK #CSKvGT #CSKvsGT #IPL #IPL2024 #TATAIPL #TATAIPL2024 https://t.co/Jrrqr90WdO","Dubai, United Arab Emirates",irishabhparmar,Wed Mar 27 20:12:58 +0000 2024,tweet-1773080796762341819,"RachinRavindra,ShivamDube,MSDhoni,RuturajGaikwad,ShubmanGill,GT,CSK,CSKvGT,CSKvsGT,IPL,IPL2024,TATAIPL,TATAIPL2024"
701,21,https://pbs.twimg.com/media/GJtg94masAET69L.jpg,14524,Travis Head doing Travis Head things in India! #IPL https://t.co/eZCkIPcLvu,,BBL,Wed Mar 27 22:44:18 +0000 2024,tweet-1773118881160147172,IPL
3,0,https://pbs.twimg.com/ext_tw_video_thumb/1773049625475448832/pu/img/U2__SjN9-tPLXuwV.jpg,447,"And blud himself wasted 20 balls @120SR where 277 were to be chased and all other teammates had collective SR of 220+ ☠️🤡

#HardikPandya #RohitSharma𓃵 #MIvsSRH #IPL https://t.co/HOA05PBlKT",Auqaat_mein,OverThinkerSays,Wed Mar 27 18:09:18 +0000 2024,tweet-1773049672891777317,"HardikPandya,RohitSharma𓃵,MIvsSRH,IPL"
1,1,https://pbs.twimg.com/media/GJswTTXagAEDQE1.jpg,351,"#IPLUpdate

🚨Who Will Break My 175* runs Record,Come Forward..!!

#srhvsmi #SRHvMI #MIvsSRH #chrisgayle #RohitSharma𓃵 #klaasen #HardikPandya #الوظايف_التعليميه #IPL #IPL24 #gamechanger #cskvsgt #cskvgt #CSKvsGT #universeboss 
#Universal_Superstar_Awards #gayle #abhishek https://t.co/ckdgLgTf2D",,trend_tak45,Wed Mar 27 19:06:19 +0000 2024,tweet-1773064024000762223,"IPLUpdate,srhvsmi,SRHvMI,MIvsSRH,chrisgayle,RohitSharma𓃵,klaasen,HardikPandya,الوظايف_التعليميه,IPL,IPL24,gamechanger,cskvsgt,cskvgt,CSKvsGT,universeboss,Universal_Superstar_Awards,gayle,abhishek"
1,0,https://pbs.twimg.com/media/GJs0pMsbUAAuq1A.jpg,283,"My streaks continues 🫡🫡

#IPL #Dream11 #MIvsSRH https://t.co/IZCsfi1XGD",India🇮🇳,ankush_06_,Wed Mar 27 19:25:09 +0000 2024,tweet-1773068763060969782,"IPL,Dream11,MIvsSRH"
13,1,https://pbs.twimg.com/ext_tw_video_thumb/1773075867687608320/pu/img/K9GARX7gwrKHxF7D.jpg,1766,"Can Shimron Hetmyer force his way back into the West Indies T20 XI with a strong IPL?

Full episode on the Caribbean Cricket Podcast You Tube channel 

#shimronhetmyer #ipl2024 #IPL https://t.co/JYpy8JrCcu","London, England",CaribCricket,Wed Mar 27 19:53:42 +0000 2024,tweet-1773075947874365859,"shimronhetmyer,ipl2024,IPL"
1604,104,https://pbs.twimg.com/ext_tw_video_thumb/1771268837809201153/pu/img/uOV65G0je1KjDc2n.jpg,21596,"I have painted sporting events in over 150 stadiums in 20+ countries. Tonight was something VERY special! Thank you to all the #ipl fans for the support &amp; warm welcome. More to come! @iplt20  @ChennaiIPL @RCBTweets 
#CSKvRCB #WhistlePodu #SummerOf24 https://t.co/uFYNRFp1ym",In a ballpark,andybisanartist,Fri Mar 22 20:20:44 +0000 2024,tweet-1771270810663092552,"ipl,CSKvRCB,WhistlePodu,SummerOf24"
194,15,https://pbs.twimg.com/media/EfeVEUVXYAAp7KV.png,17239,"On This Day in 2016, MS Dhoni made a Iconic Run-Out against Bangladesh and India won by 1 Run in Bengaluru.🇮🇳🇧🇩

- THALA MS DHONI THE GOAT.🔥🐐

#OnThisDay #OTD #INDvBAN #INDvsBAN #MSDhoni #CSK #ChennaiSuperKings #CSKvRCB #CSKvsRCB #IPL #IPL2024

 https://t.co/Q2bULuNPMa","Dubai, United Arab Emirates",irishabhparmar,Sat Mar 23 03:00:28 +0000 2024,tweet-1771371405705199736,"OnThisDay,OTD,INDvBAN,INDvsBAN,MSDhoni,CSK,ChennaiSuperKings,CSKvRCB,CSKvsRCB,IPL,IPL2024"
11,2,https://pbs.twimg.com/ext_tw_video_thumb/1771275069265727488/pu/img/5vlKTLq5XIsabOC-.jpg,3498,"Rachin Ravindra Last Night at Chepauk.🔥💛

#RachinRavindra #MSDhoni #RuturajGaikwad #CSK #ChennaiSuperKings #CSKvRCB #CSKvsRCB #IPL #IPL2024

 https://t.co/RKlJv95eNi","Dubai, United Arab Emirates",irishabhparmar,Sat Mar 23 02:54:25 +0000 2024,tweet-1771369883252723823,"RachinRavindra,MSDhoni,RuturajGaikwad,CSK,ChennaiSuperKings,CSKvRCB,CSKvsRCB,IPL,IPL2024"
1060,325,https://pbs.twimg.com/ext_tw_video_thumb/1771376950424014849/pu/img/AzBregFokUH0l6hN.jpg,40714,"Match day Guys!🧡 Our wait is almost over, we are facing one of the good sides in IPL 2024 and they are even stronger now with Gambhir returning to the side, hoping for the best 🧡 let's go!
#OrangeArmy #Sunrisers #Sunrisershyderabad #KKRvSRH #KKRvsSRH #IPL2024 #IPL #KKR #Kolkata https://t.co/ld5k5b9W0e",,SRH_COOLIE,Sat Mar 23 03:22:39 +0000 2024,tweet-1771376991377522835,"OrangeArmy,Sunrisers,Sunrisershyderabad,KKRvSRH,KKRvsSRH,IPL2024,IPL,KKR,Kolkata"
