match_name,franchise,label,sponsor_name,sponsor_asset_type,sponsor_asset_location,sponsor_asset_visibility,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Jio_jersey_shoulder_logo_clear,Jio,jersey,shoulder_logo,clear,0.677270174,940.8659668,379.9172974,1009.633301,454.2930298
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,BKT_jersey_back_logo_clear,BKT,jersey,back_logo,clear,0.639921546,532.229187,315.526947,677.732605,397.6730042
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Valvoline_jersey_sleeve_logo_blurry,Valvoline,jersey,sleeve_logo,blurry,0.38265112,767.2307129,350.6498413,821.8579102,395.6881104
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,KentMineralRO_jersey_chest_logo_obstructed,KentMineralRO,jersey,chest_logo,obstructed,0.348528862,831.098999,311.684082,895.9959717,369.1558838
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,EcoLink_cap_logo_partially_visible,EcoLink,cap,logo_partially,visible,0.299858481,638.9882813,183.3185272,711.1335449,220.6291351
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,BKT_jersey_back_logo_clear,BKT,jersey,back_logo,clear,0.291972309,399.6361084,173.0804443,544.9731445,243.1113281
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,BKT_jersey_back_logo_clear,BKT,jersey,back_logo,clear,0.240180954,128.3088684,224.6171875,269.8879089,292.9197388
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Freemans_cap_logo_partially_visible,Freemans,cap,logo_partially,visible,0.187309995,639.4022217,184.2712402,710.550415,220.4848022
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Freemans_cap_logo_partially_visible,Freemans,cap,logo_partially,visible,0.17194064,1066.565308,173.6740417,1151.136597,220.5611877
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Dream11_jersey_chest_logo_partially_visible,Dream11,jersey,chest_logo_partially,visible,0.160546422,826.7423096,345.6618958,958.2174072,418.879364
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Jio_jersey_shoulder_logo_clear,Jio,jersey,shoulder_logo,clear,0.125150561,917.6806641,380.4918823,1011.191162,497.7132568
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_chest_logo_blurry,AllSeasons,jersey,chest_logo,blurry,0.122491732,763.9886475,306.0153503,833.1925049,347.5329895
