match_name,franchise,,label,sponsor_name,sponsor_asset_type,sponsor_asset_location,sponsor_asset_visibility,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,GMR_jersey_sleeve_logo_clear,GMR,jersey,sleeve_logo,clear,0.108138725,477.1794128,767.5042725,576.3112793,830.7763672
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,GMR_jersey_sleeve_logo_clear,GMR,jersey,sleeve_logo,clear,0.412910372,367.2525024,370.4064941,466.3502808,429.6884766
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,AllSeasons_jersey_chest_logo_blurry,AllSeasons,jersey,chest_logo,blurry,0.2015232,267.3042603,345.1829529,338.7752075,410.3606262
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,Jio_jersey_shoulder_logo_partially_visible,Jio,jersey,shoulder_logo,partially_visible,0.191395134,986.6665039,322.0901489,1090.162354,394.1099243
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,AllSeasons_jersey_chest_logo_blurry,AllSeasons,jersey,chest_logo,blurry,0.141183555,262.1550903,344.5689087,343.7966919,429.1253052
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,KentMineralRO_jersey_chest_logo_partially_visible,KentMineralRO,jersey,chest_logo,partially_visible,0.362409085,393.3791504,338.5206299,539.8605957,411.8589478
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,KentMineralRO_jersey_chest_logo_clear,KentMineralRO,jersey,chest_logo,clear,0.167883739,392.3944092,344.5916748,528.7262573,412.2994385
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,motorola_trousers_logo_blurry,motorola,trousers,logo,blurry,0.116709135,621.1484375,382.6218567,735.7231445,455.8092957
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,Jio_jersey_shoulder_logo_partially_visible,Jio,jersey,shoulder_logo,partially_visible,0.113340355,860.3657227,367.5148315,962.7404785,441.755188
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,Jio_jersey_shoulder_logo_partially_visible,Jio,jersey,shoulder_logo,partially_visible,0.439317644,473.0020752,527.6813354,539.1369629,585.5831909
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,Jio_jersey_shoulder_logo_partially_visible,Jio,jersey,shoulder_logo,partially_visible,0.121179059,446.6819458,528.4470825,538.5999146,591.06427
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,Jio_jersey_shoulder_logo_partially_visible,Jio,jersey,shoulder_logo,partially_visible,0.193998635,811.8210449,395.8932495,894.5009766,477.4263916
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,Jio_jersey_shoulder_logo_clear,Jio,jersey,shoulder_logo,clear,0.103848785,812.7839355,393.7245483,895.2453613,472.9177856
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,BKT_jersey_back_logo_clear,BKT,jersey,back_logo,clear,0.140261009,762.7529907,276.2745972,887.3023071,364.8173218
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,Jio_jersey_shoulder_logo_partially_visible,Jio,jersey,shoulder_logo,partially_visible,0.126083449,585.9831543,279.5686035,653.112793,334.3113403
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,RayzonSolar_trousers_logo_partially_visible,RayzonSolar,trousers,logo,partially_visible,0.252378464,523.1858521,453.255188,615.4699097,519.2749634
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,Encalm_trousers_logo_clear,Encalm,trousers,logo,clear,0.175785422,405.2175903,422.8357544,512.7182617,501.8984985
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,DPWorld_jersey_back_logo_blurry,DPWorld,jersey,back_logo,blurry,0.150014728,442.0167847,310.8916016,550.4674683,369.0147705
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,Valvoline_jersey_sleeve_logo_blurry,Valvoline,jersey,sleeve_logo,blurry,0.101367623,299.9438477,394.7115479,392.4656982,479.8253784
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,kshema_trousers_logo_partially_visible,kshema,trousers,logo,partially_visible,0.299612075,823.2133179,389.2451782,864.2565308,421.2804565
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,kshema_trousers_logo_partially_visible,kshema,trousers,logo,partially_visible,0.230655491,821.8597412,386.9346313,874.7242432,424.8198242
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,HeroFincorp_jersey_chest_logo_blurry,HeroFincorp,jersey,chest_logo,blurry,0.227695495,685.5498047,303.3484497,770.6535645,345.2713623
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,HeroFincorp_jersey_chest_logo_partially_visible,HeroFincorp,jersey,chest_logo,partially_visible,0.181337103,683.838562,301.8762817,767.2836304,339.423584
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,DPWorld_jersey_back_logo_clear,DPWorld,jersey,back_logo,clear,0.160840198,684.6568604,298.4384155,768.7103271,337.9226685
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,RayzonSolar_trousers_logo_clear,RayzonSolar,trousers,logo,clear,0.137685359,515.5316162,504.5983887,595.3616943,555.817627
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,BKT_jersey_back_logo_partially_visible,BKT,jersey,back_logo,partially_visible,0.114347756,682.1298828,301.5284424,764.9353027,340.3093262
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,motorola_trousers_logo_clear,motorola,trousers,logo,clear,0.616498232,350.4385376,769.7324219,496.3388062,844.0388184
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,Puma_jersey_sleeve_logo_clear,Puma,jersey,sleeve_logo,clear,0.365150422,245.4629211,390.5432129,306.2793884,464.3267212
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,Puma_jersey_sleeve_logo_clear,Puma,jersey,sleeve_logo,clear,0.326230347,285.1546631,395.8071289,346.2932129,459.753479
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,BKT_jersey_back_logo_clear,BKT,jersey,back_logo,clear,0.287790686,128.65625,186.6484375,254.895813,265.4684143
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,GMR_jersey_sleeve_logo_clear,GMR,jersey,sleeve_logo,clear,0.143143475,692.2084961,179.5733032,763.772583,218.1182251
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,Jio_jersey_shoulder_logo_clear,Jio,jersey,shoulder_logo,clear,0.106396005,371.6754761,153.0201111,413.4661255,195.4067688
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,Jio_jersey_shoulder_logo_partially_visible,Jio,jersey,shoulder_logo,partially_visible,0.52060318,480.6658936,295.7514038,560.2244873,349.5825806
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,DPWorld_jersey_back_logo_clear,DPWorld,jersey,back_logo,clear,0.282848239,316.0454102,247.6027222,458.3255615,347.0519409
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,DPWorld_jersey_back_logo_blurry,DPWorld,jersey,back_logo,blurry,0.147855788,330.3719482,248.3664551,451.9737549,343.9283447
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,AllSeasons_jersey_chest_logo_blurry,AllSeasons,jersey,chest_logo,blurry,0.267836004,350.7702026,331.4110718,460.6151733,391.8795776
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,Valvoline_jersey_sleeve_logo_blurry,Valvoline,jersey,sleeve_logo,blurry,0.217802331,678.6848145,315.3550415,782.657959,373.4729614
Match_40_TATA_IPL_2025_LSG_vs_DC,Delhi Capitals,,motorola_trousers_logo_blurry,motorola,trousers,logo,blurry,0.145286515,357.8082886,710.7875977,500.7963257,797.1252441
