MatchID,Franchise,TimestampFrameNumber,AudioPeakScore,VisibleSponsorsDuringPeak
Match 60 DC VS GT,Delhi Capitals,273.6,0.07620663,All Seasons
Match 60 DC VS GT,Delhi Capitals,276.48,0.075740665,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,280.32,0.07539539,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,283.2,0.07593686,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,285.6,0.07171483,"Acko, DP World, JSW Paints, GMR"
Match 60 DC VS GT,Delhi Capitals,289.92,0.07640231,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,293.28,0.0765406,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,296.16,0.07542848,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,299.52,0.07607956,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,303.84,0.076675616,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,306.72,0.07639141,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,310.56,0.07656609,Puma
Match 60 DC VS GT,Delhi Capitals,314.88,0.07670018,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,318.24,0.07739316,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,323.52,0.12832132,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,326.4,0.14483596,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,330.72,0.07678796,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,339.84,0.062756695,"GMR, All Seasons, HeroFincorp"
Match 60 DC VS GT,Delhi Capitals,344.16,0.07518167,DP World
Match 60 DC VS GT,Delhi Capitals,348,0.07610958,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,353.28,0.076250024,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,357.12,0.070465,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,360.48,0.07634281,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,362.88,0.07390951,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,365.76,0.07566964,"GMR, All Seasons"
Match 60 DC VS GT,Delhi Capitals,371.04,0.076102406,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,375.36,0.07219172,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,379.68,0.07636463,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,382.56,0.074619524,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,386.88,0.07290931,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,392.64,0.07671261,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,396.48,0.07428995,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,399.36,0.07641813,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,403.2,0.076752074,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,408.96,0.07663458,"Encalm, Motorola, HeroFincorp, All Seasons"
Match 60 DC VS GT,Delhi Capitals,414.72,0.07649918,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,417.6,0.07571663,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,420,0.076477654,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,422.4,0.074012846,"Jio, Puma, GMR"
Match 60 DC VS GT,Delhi Capitals,424.8,0.07580262,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,427.2,0.075778715,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,431.04,0.07780698,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,435.84,0.077041276,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,438.24,0.07466256,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,443.04,0.07589796,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,446.4,0.074632935,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,449.76,0.07583345,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,454.08,0.07617091,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,456.48,0.07488484,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,458.88,0.07407768,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,463.2,0.07621263,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,467.04,0.076001,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,471.36,0.07638399,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,474.24,0.07606517,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,476.64,0.07036244,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,481.92,0.07537079,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,484.32,0.0768726,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,487.68,0.07495789,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,490.08,0.07676521,"HeroFincorp, Jio, Puma, GMR, All Seasons"
Match 60 DC VS GT,Delhi Capitals,493.44,0.07509968,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,495.84,0.07538647,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,498.24,0.076697305,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,504,0.0756944,"All Seasons, Puma, GMR"
Match 60 DC VS GT,Delhi Capitals,509.28,0.0766662,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,513.6,0.07631541,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,516,0.07560107,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,520.32,0.0769205,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,523.68,0.07619126,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,527.04,0.075610705,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,530.4,0.07655647,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,533.28,0.0764413,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,535.68,0.07639199,"HeroFincorp, DP World"
Match 60 DC VS GT,Delhi Capitals,540.48,0.07647373,No DC Sponsor Detected
