over,ball,runs,extra,bowler,batsman,shot_direction
5,4,4,,Mustafizur Rahman,Sai Sudharsan,Square Cut
5,3,0,,Mustafizur Rahman,Sai Sudharsan,Mid-Wicket
5,2,0,,Mustafizur Rahman,Sai Sudharsan,Mid-Wicket
5,1,1,,Mustafizur Rahman,Shubman Gill,Cover Drive
4,6,1,,Dushmantha Chameera,Shubman Gill,Mid-On
4,5,0,,Dushmantha Chameera,Shubman Gill,Mid-Off
4,4,1,,Dushmantha Chameera,Sai Sudharsan,Deep Square Leg
4,3,0,,Dushmantha Chameera,Sai Sudharsan,Beaten
4,2,1,,Dushmantha Chameera,Shubman Gill,Pull Shot
4,1,0,,Dushmantha Chameera,Shubman Gill,Mid-Off
3,6,2,,Mustafizur Rahman,Sai Sudharsan,Deep Mid-Wicket
3,5,0,,Mustafizur Rahman,Sai Sudharsan,Short Third Man
3,4,1,,Mustafizur Rahman,Shubman Gill,Mid-On
3,3,2,,Mustafizur Rahman,Shubman Gill,Deep Extra Covers(Sweeper Cover)
3,2,1,,Mustafizur Rahman,Sai Sudharsan,Pull Shot
3,1,0,,Mustafizur Rahman,Sai Sudharsan,Mid-On
2,6,1,,Axar Patel,Sai Sudharsan,Mid-On
2,5,4,,Axar Patel,Sai Sudharsan,Point
2,4,4,,Axar Patel,Sai Sudharsan,Cover
2,3,1,,Axar Patel,Shubman Gill,Wide Long-Off
2,2,1,,Axar Patel,Sai Sudharsan,Country
2,1,1,,Axar Patel,Shubman Gill,Push
1,6,4,,T Natarajan,Sai Sudharsan,Third Man
1,5,2,,T Natarajan,Sai Sudharsan,Deep Extra Covers(Sweeper Cover)
1,4,0,,T Natarajan,Sai Sudharsan,Mid-On
1,3,4,,T Natarajan,Sai Sudharsan,Extra-Cover and Sweeper Cover
1,2,4,,T Natarajan,Sai Sudharsan,Point
1,1,6,,T Natarajan,Sai Sudharsan,Deep Backward Square
0,6,6,,Axar Patel,Shubman Gill,Stands
0,5,0,,Axar Patel,Shubman Gill,Short Extra Covers
0,4,0,,Axar Patel,Shubman Gill,No Run
0,3,1,,Axar Patel,Sai Sudharsan,Wide Long-On
0,2,4,,Axar Patel,Sai Sudharsan,Fine Leg
0,1,0,,Axar Patel,Sai Sudharsan,Short Fine Leg

