peak_index,timestamp_sec,audio_peak_score
1,2.4,0.07348906
2,7.68,0.09445251
3,11.52,0.10833268
4,16.32,0.061055206
5,19.2,0.14853077
6,23.52,0.13909534
7,28.32,0.14335898
8,30.72,0.10526577
9,34.08,0.11092717
10,37.92,0.065108426
11,40.32,0.07112245
12,42.72,0.07687758
13,47.04,0.07674374
14,53.28,0.076887414
15,56.16,0.076541774
16,60.96,0.076838925
17,64.8,0.07682668
18,68.64,0.07690762
19,74.88,0.07664477
20,80.16,0.076554015
21,85.92,0.076790355
22,88.8,0.07240926
23,91.67999999999999,0.075294375
24,95.52,0.07348753
25,100.32,0.076390415
26,104.16,0.07135822
27,107.52,0.07679922
28,114.72,0.07687605
29,119.03999999999999,0.06858068
30,121.92,0.0767275
31,126.72,0.076678984
32,132.48,0.07684676
33,135.35999999999999,0.07658589
34,139.2,0.074090496
35,143.51999999999998,0.076300114
36,147.35999999999999,0.07625064
37,150.23999999999998,0.075229615
38,154.07999999999998,0.076359816
39,156.96,0.06485175
40,159.35999999999999,0.07666362
41,161.76,0.07647062
42,167.04,0.076633625
43,173.76,0.07653593
44,176.16,0.076793656
45,179.51999999999998,0.06711502
46,185.28,0.07639967
47,190.07999999999998,0.07645475
48,194.4,0.076501936
49,196.79999999999998,0.07606929
50,199.2,0.076304585
51,203.51999999999998,0.07386667
52,205.92,0.07689559
53,209.76,0.076540485
54,212.16,0.07683497
55,215.51999999999998,0.07568181
56,220.79999999999998,0.07535784
57,225.6,0.076612435
58,231.35999999999999,0.07677059
59,233.76,0.0758933
60,236.16,0.076603875
61,239.51999999999998,0.07324778
62,243.35999999999999,0.07687263
63,246.72,0.07681651
64,249.6,0.076570675
65,254.39999999999998,0.07617927
66,256.8,0.062065993
67,259.2,0.076323226
68,263.03999999999996,0.07674061
69,266.88,0.07501213
70,269.28,0.074902974
71,272.15999999999997,0.07323296
72,276.96,0.07716192
73,283.2,0.07566209
74,286.08,0.07676731
75,290.4,0.076674946
76,293.28,0.07472047
77,295.68,0.07673327
78,300,0.076024555
79,302.4,0.07676804
80,304.8,0.07649856
81,307.2,0.06727504
82,309.59999999999997,0.07617377
83,312.47999999999996,0.07649506
84,316.32,0.076906994
85,320.15999999999997,0.0760016
86,323.52,0.076702006
87,327.36,0.07389625
88,333.12,0.076919354
89,337.44,0.07659069
90,341.76,0.076919824
91,344.15999999999997,0.07594976
92,346.56,0.07518914
93,352.32,0.07698348
94,356.15999999999997,0.076660655
95,360.96,0.076515965
96,363.36,0.07115623
97,365.76,0.076904014
98,368.64,0.07670181
99,372.96,0.076481074
100,376.8,0.06884594
101,381.12,0.07663191
102,385.91999999999996,0.07402836
103,389.28,0.074656546
104,392.64,0.07987438
105,396.96,0.076909244
106,399.84,0.076880366
107,403.2,0.07662387
108,407.03999999999996,0.076316595
109,411.84,0.07661683
110,414.24,0.07648382
111,417.59999999999997,0.12922016
112,420,0.07231637
113,423.35999999999996,0.12706624
114,425.76,0.07639199
115,428.64,0.07659687
116,432.96,0.07598516
117,436.8,0.07650818
118,439.2,0.0732687
119,443.52,0.0764437
120,445.91999999999996,0.074472435
121,450.71999999999997,0.076153785
122,453.59999999999997,0.076466545
123,457.44,0.07666008
124,461.28,0.07674995
125,464.15999999999997,0.07686374
126,467.03999999999996,0.071333446
127,469.91999999999996,0.07667558
128,474.24,0.07223341
129,476.64,0.07684871
130,480.47999999999996,0.067281395
131,482.88,0.071984254
132,486.24,0.07430065
133,490.56,0.076802485
134,493.91999999999996,0.07645396
135,497.76,0.07659394
136,501.59999999999997,0.07691452
137,504,0.060076617
138,506.88,0.07647008
139,510.71999999999997,0.07684107
140,515.52,0.076072074
141,521.28,0.075644955
142,524.64,0.07599026
143,530.4,0.07653949
144,533.28,0.06941827
145,536.64,0.076734684
146,539.52,0.0735894
147,543.36,0.07670824
148,546.72,0.0765341
149,552.48,0.076863796
150,556.3199999999999,0.07081871
151,559.1999999999999,0.075997815
152,562.0799999999999,0.07669964
153,565.4399999999999,0.072176434
154,568.8,0.07690498
155,571.68,0.07632965
156,576.48,0.07688294
157,578.88,0.07628817
158,582.24,0.06420749
159,586.56,0.07628952
160,588.9599999999999,0.07285716
161,594.24,0.07689017
162,596.64,0.076887995
163,600,0.07637137
164,602.4,0.076875284
165,609.12,0.07648775
166,612,0.07688867
167,618.24,0.07674985
168,624,0.060499888
169,627.36,0.07636066
170,630.72,0.0767094
171,635.04,0.07671113
172,638.88,0.07602123
173,641.76,0.0741758
174,647.52,0.07688824
175,651.36,0.07625876
176,655.68,0.076908164
177,658.56,0.07685438
178,662.88,0.07671472
179,666.24,0.07613815
180,671.52,0.07295438
181,673.92,0.075999156
182,678.24,0.07586746
183,683.52,0.07655346
184,686.88,0.07689626
185,695.04,0.0767486
186,699.36,0.07621123
187,704.16,0.07667641
188,706.56,0.07396214
189,711.36,0.07676653
190,714.24,0.07684112
191,718.56,0.07653249
192,720.9599999999999,0.076885186
193,724.3199999999999,0.064759605
194,732,0.07687974
195,734.4,0.07664615
196,739.1999999999999,0.07462819
197,741.6,0.07337454
198,744,0.077379934
199,747.8399999999999,0.07421447
200,751.1999999999999,0.07301103
201,753.6,0.075222805
202,756,0.07656043
203,759.36,0.076893024
204,762.72,0.07657357
205,766.0799999999999,0.076906785
206,768.9599999999999,0.07609086
207,772.3199999999999,0.07693239
208,775.1999999999999,0.07595214
209,780,0.074553855
210,782.4,0.076068014
211,787.1999999999999,0.07615827
212,790.0799999999999,0.07672982
213,793.92,0.07614804
214,796.8,0.07011037
215,801.6,0.0768051
216,805.92,0.076559074
217,809.76,0.07649968
218,812.64,0.07684627
219,817.4399999999999,0.07639605
220,821.28,0.068300515
221,825.12,0.07685001
222,828,0.076140456
223,831.8399999999999,0.07682938
224,835.1999999999999,0.076336175
225,837.6,0.07668943
226,842.88,0.076222226
227,847.68,0.09652256
228,850.0799999999999,0.12039295
229,853.4399999999999,0.13838731
230,856.8,0.14146045
231,860.64,0.11819051
232,864.9599999999999,0.13947974
233,867.8399999999999,0.12575561
234,870.7199999999999,0.07265803
