MatchID,Franchise,TimestampFrameNumber,AudioPeakScore,VisibleSponsorsDuringPeak
Match 60 DC VS GT,GUJRAT TITANS,247.2,0.07620489,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,251.52,0.07683078,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,255.36,0.07633887,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,258.24,0.07658429,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,262.56,0.07669641,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,265.44,0.07311651,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,268.32,0.07660224,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,270.72,0.07643045,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,273.6,0.07620663,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,276.48,0.075740665,"Jio, Dream11, Torrent_Group, Acko"
Match 60 DC VS GT,GUJRAT TITANS,280.32,0.07539539,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,283.2,0.07593686,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,285.6,0.07171483,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,289.92,0.07640231,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,293.28,0.0765406,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,296.16,0.07542848,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,299.52,0.07607956,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,303.84,0.076675616,Jio
Match 60 DC VS GT,GUJRAT TITANS,306.72,0.07639141,Jio
Match 60 DC VS GT,GUJRAT TITANS,310.56,0.07656609,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,314.88,0.07670018,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,318.24,0.07739316,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,323.52,0.12832132,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,326.4,0.14483596,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,330.72,0.07678796,"Dream11, LivPure, RayzonSolar, Torrent_Group"
Match 60 DC VS GT,GUJRAT TITANS,339.84,0.062756695,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,344.16,0.07518167,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,348,0.07610958,Dream11
Match 60 DC VS GT,GUJRAT TITANS,353.28,0.076250024,"AstralPipes, SimpoloCeramics, Jio "
Match 60 DC VS GT,GUJRAT TITANS,357.12,0.070465,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,360.48,0.07634281,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,362.88,0.07390951,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,365.76,0.07566964,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,371.04,0.076102406,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,375.36,0.07219172,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,379.68,0.07636463,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,382.56,0.074619524,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,386.88,0.07290931,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,392.64,0.07671261,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,396.48,0.07428995,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,399.36,0.07641813,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,403.2,0.076752074,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,408.96,0.07663458,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,414.72,0.07649918,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,417.6,0.07571663,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,420,0.076477654,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,422.4,0.074012846,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,424.8,0.07580262,"BKT, Equitas, Acko, Torrent_Group, Jio"
Match 60 DC VS GT,GUJRAT TITANS,427.2,0.075778715,"BKT, Equitas, Acko, Jio"
Match 60 DC VS GT,GUJRAT TITANS,431.04,0.07780698,"BKT, Equitas, Acko, Torrent_Group, AstralPipes"
Match 60 DC VS GT,GUJRAT TITANS,435.84,0.077041276,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,438.24,0.07466256,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,443.04,0.07589796,NO GT SPONSOR DETECTED
